Conlar Collegiate League
EACOR,Eastern,CorridorA,,,,,,,,,,,
HICOR,Historic,CorridorB,,,,,,,,,,,
NORTH,Northern,Others,,,,,,,,,,,
SCMLD,Sirlian,Mainland,,,,,,,,,,,
HOME,Various,HomeIslands,,,,,,,,,,,
MIX,MixA,MixB,,,,,,,,,,,
# Team format:,Conference,Division,Name,Abbr,Prestige,Rival,,,,,,,
# Eastern7/Corridor,,,,,,,,,,,,,
TEAM,EACOR,CorridorA,Northern Channel,NC,72,ECTU,,,,,,,
TEAM,EACOR,CorridorA,Drew Tech,DREW,60,SILV,,,,,,,
TEAM,EACOR,CorridorA,North Conlar,NCON,71,ISL,,,,,,,
TEAM,EACOR,CorridorA,North Langtor,NLNG,65,HCCC,,,,,,,
TEAM,EACOR,CorridorA,Air Force,AIRF,73,ARMY,,,,,,,
TEAM,EACOR,CorridorA,Marine,MARN,63,NAV,,,,,,,
TEAM,EACOR,CorridorA,Western Langtor,WLNG,60,ASU,,,,,,,
TEAM,EACOR,Eastern,East-Central Tech,ECTU,63,NC,,,,,,,
TEAM,EACOR,Eastern,Silverford,SILV,61,DREW,,,,,,,
TEAM,EACOR,Eastern,Islander,ISL,60,NCON,,,,,,,
TEAM,EACOR,Eastern,Holy Crown,HCCC,55,NLNG,,,,,,,
TEAM,EACOR,Eastern,Army,ARMY,74,AIRF,,,,,,,
TEAM,EACOR,Eastern,Naval,NAV,74,MARN,,,,,,,
TEAM,EACOR,Eastern,Aifin State,ASU,55,WLNG,,,,,,,
# Historic/Corridor,,,,,,,,,,,,,
TEAM,HICOR,Historic,Sacred Grove,GROV,52,VIL,,,,,,,
TEAM,HICOR,Historic,Conlarian,CON,55,KON,,,,,,,
TEAM,HICOR,Historic,Taiho CMI,TCMI,66,TBNE,,,,,,,
TEAM,HICOR,Historic,Old Deymont,OLDD,65,NEWD,,,,,,,
TEAM,HICOR,Historic,Border College,BC,55,GIR,,,,,,,
TEAM,HICOR,Historic,Philron National,PNAT,67,YNAT,,,,,,,
TEAM,HICOR,Historic,Central Rallai,CRAL,60,SEYR,,,,,,,
